gvkey,datadate,cshtrd,prccd,prchd,prcld,prcod
001690,2000-01-03,4783300.00000000,111.93750000,112.50000000,101.68750000,
001690,2000-01-04,4568200.00000000,102.50000000,110.62500000,101.18750000,
001690,2000-01-05,6943800.00000000,104.00000000,110.56250000,103.00000000,
001690,2000-01-06,6856500.00000000,95.00000000,107.00000000,95.00000000,
001690,2000-01-07,4113600.00000000,99.50000000,101.00000000,95.50000000,
001690,2000-01-10,4509500.00000000,97.75000000,102.25000000,94.75000000,
001690,2000-01-11,3937200.00000000,92.75000000,99.37500000,90.50000000,
001690,2000-01-12,8713900.00000000,87.18750000,95.50000000,86.50000000,
001690,2000-01-13,9219500.00000000,96.75000000,98.75000000,92.50000000,
001690,2000-01-14,3484700.00000000,100.43750000,102.25000000,99.37500000,
001690,2000-01-18,4099100.00000000,103.93750000,106.00000000,100.43750000,
001690,2000-01-19,5234200.00000000,106.56250000,108.75000000,103.37500000,
001690,2000-01-20,16344400.00000000,113.50000000,121.50000000,113.50000000,
001690,2000-01-21,4427800.00000000,111.31250000,114.25000000,110.18750000,
001690,2000-01-24,3936900.00000000,106.25000000,112.75000000,105.12500000,
001690,2000-01-25,4439300.00000000,112.25000000,113.12500000,102.37500000,
001690,2000-01-26,3273600.00000000,110.18750000,114.18750000,109.75000000,
001690,2000-01-27,3036900.00000000,110.00000000,113.00000000,107.00000000,
001690,2000-01-28,3780000.00000000,101.62500000,110.87500000,100.62500000,
001690,2000-01-31,6287100.00000000,103.75000000,103.87500000,94.50000000,
001690,2000-02-01,2839300.00000000,100.25000000,105.00000000,100.00000000,
001690,2000-02-02,4144600.00000000,98.81250000,102.12500000,97.00000000,
001690,2000-02-03,4242700.00000000,103.31250000,104.25000000,100.25000000,
001690,2000-02-04,3797500.00000000,108.00000000,110.00000000,103.62500000,
001690,2000-02-07,3937900.00000000,114.06250000,114.25000000,105.93750000,
001690,2000-02-08,3647300.00000000,114.87500000,116.12500000,111.25000000,
001690,2000-02-09,2672900.00000000,112.62500000,117.12500000,112.43750000,
001690,2000-02-10,2705200.00000000,113.50000000,113.87500000,109.12500000,
001690,2000-02-11,1895100.00000000,108.75000000,114.12500000,108.25000000,
001690,2000-02-14,3281500.00000000,115.81250000,115.87500000,108.62500000,
001690,2000-02-15,4336900.00000000,119.00000000,119.93750000,115.18750000,
001690,2000-02-16,3377200.00000000,114.12500000,118.12500000,112.12500000,
