Ticker,Status
KLAC,good
WUHN,good
ATOM3.SA,good
SIMECB.MX,good
1141.HK,good
F9D.SI,good
FEO.V,good
TAL,insufficient_history
DWD.F,good
SBIN.NS,good
RUB.AX,no_data
RAPT4.SA,good
COLLADO.MX,good
SHF.MU,good
BTU,insufficient_history
PEU.MU,no_data
MUV2.HA,good
SITO,no_data
0114.HK,good
VENN.L,no_data
SIMBHALS.NS,good
INDHOTEL.NS,good
LHA.DE,good
PDP.V,no_data
V3S.DE,no_data
PRH.V,good
ZYXI,good
NMM,good
NEPH,good
EFE.AX,good
IC8.DU,good
UBI.MI,no_data
WTP.AX,good
EXEO,insufficient_history
AKG.TO,no_data
TRM.V,no_data
AZTECACPO.MX,good
AAL.MX,insufficient_history
VVU.SG,good
YUM,good
ECR.V,good
ZAR.F,no_data
2493.TW,good
ELD.TO,good
WIN.F,no_data
QBR-B.TO,good
EMC.MI,no_data
MUM.DE,good
SOMANYCERA.NS,good
GGAN.MX,insufficient_history
XELB,insufficient_history
2850.TW,good
MAS.V,good
WETF,no_data
FVE,no_data
0130.HK,good
SOBA.F,good
BMW.SG,good
PRT.AX,no_data
SAC.F,no_data
AFRB.L,no_data
URBN,good
PVHO,no_data
ARCT.ST,good
WHLM,good
BWB.SG,good
CHGT,no_data
LWDB.L,good
CLNR.L,no_data
1503.TW,good
UPERGANGES.NS,no_data
SABE.PA,good
ISAT,no_data
PFE.BE,good
CSAB3.SA,no_data
CVO,no_data
ENP.V,no_data
BAJAJHLDNG.NS,good
CWRL,no_data
MTT.F,good
AAPC,no_data
LOK.L,no_data
HDD.MU,good
TDL.AX,no_data
1166.HK,good
ADI1.MU,good
VOW3.MU,good
FIBRAPL14.MX,insufficient_history
GAW.L,good
EFF.MU,good
STON.MX,insufficient_history
U11.SI,good
LXB.L,no_data
FIPP.PA,good
2018.HK,good
UZU.BE,good
JKX.L,no_data
EDE.AX,good
CEQP,no_data
VVAR3.SA,no_data
BOSS.SG,good
PEL.AX,good
EPWN.L,insufficient_history
DOMIK.AT,good
ESK.AX,insufficient_history
IGV.MI,good
SITI.MI,no_data
SHB.L,no_data
0381.HK,good
BOO.L,insufficient_history
PXS.L,good
ICIL.NS,good
AHG.AX,no_data
ESPR,insufficient_history
AMBOY,no_data
IVP.NS,good
1112.HK,insufficient_history
5JS.SI,good
4938.TW,good
HUO.AX,no_data
LONG.BA,good
AOMD.MU,good
MSU.MI,no_data
LBL.AX,good
RDU.V,good
NCU.TO,good
SVBI,no_data
WTXR,insufficient_history
WVFC,good
ALEMBICLTD.NS,good
MUKANDENGG.NS,good
KNM.AX,good
NOR.AX,good
CMC.HA,good
NTH.SG,good
BPE5.F,good
RLH,no_data
MGN.F,no_data
2520.TW,good
AMSF,good
SHARONBIO.NS,insufficient_history
PCI.V,no_data
MZM.AX,no_data
BEN.AX,good
TLP,no_data
DRW3.DU,good
PIONEEREMB.NS,good
COH.AX,good
ULGX,good
0997.HK,good
EDG.BE,good
TPN.BE,no_data
CEDO3.SA,good
NLN.TO,good
CE2.BE,no_data
AON.AX,good
HLF,good
ZAL.F,insufficient_history
CED.MI,good
EVEN3.SA,good
NOK,good
GMED,insufficient_history
EXSY.MI,no_data
MED.F,good
VTL.NS,good
GOOGL.MX,good
AFMD,insufficient_history
ARO.F,no_data
BRM.F,good
NELCO.NS,good
1818.HK,good
BWFG,insufficient_history
CFFI,good
SIE.SG,good
6MK.SG,good
PBR.V,no_data
PNL.AX,no_data
UFO.NS,insufficient_history
GMC.AX,no_data
EMA.TO,good
0055.HK,good
HIK.L,good
AIL.DU,good
HBC1.MU,good
GABA,good
0759.HK,good
ITI.NS,good
5AE.SI,good
EDN,good
JKS,insufficient_history
GFT.MU,good
BLCM,no_data
HEAR,insufficient_history
SXP.TO,good
HMX.AX,good
QYM.SG,good
SPM.DU,good
ALTRI.PA,good
RH.MX,insufficient_history
9935.TW,good
AXA.DU,good
