Date,Volume,Close,High,Low,Open
2000-01-03,4783300,111.9375,112.5,101.6875,
2000-01-04,4568200,102.5,110.625,101.1875,
2000-01-05,6943800,104.0,110.5625,103.0,
2000-01-06,6856500,95.0,107.0,95.0,
2000-01-07,4113600,99.5,101.0,95.5,
2000-01-10,4509500,97.75,102.25,94.75,
2000-01-11,3937200,92.75,99.375,90.5,
2000-01-12,8713900,87.1875,95.5,86.5,
2000-01-13,9219500,96.75,98.75,92.5,
2000-01-14,3484700,100.4375,102.25,99.375,
2000-01-18,4099100,103.9375,106.0,100.4375,
2000-01-19,5234200,106.5625,108.75,103.375,
2000-01-20,16344400,113.5,121.5,113.5,
2000-01-21,4427800,111.3125,114.25,110.1875,
2000-01-24,3936900,106.25,112.75,105.125,
2000-01-25,4439300,112.25,113.125,102.375,
2000-01-26,3273600,110.1875,114.1875,109.75,
2000-01-27,3036900,110.0,113.0,107.0,
2000-01-28,3780000,101.625,110.875,100.625,
2000-01-31,6287100,103.75,103.875,94.5,
2000-02-01,2839300,100.25,105.0,100.0,
2000-02-02,4144600,98.8125,102.125,97.0,
2000-02-03,4242700,103.3125,104.25,100.25,
2000-02-04,3797500,108.0,110.0,103.625,
2000-02-07,3937900,114.0625,114.25,105.9375,
2000-02-08,3647300,114.875,116.125,111.25,
2000-02-09,2672900,112.625,117.125,112.4375,
2000-02-10,2705200,113.5,113.875,109.125,
2000-02-11,1895100,108.75,114.125,108.25,
2000-02-14,3281500,115.8125,115.875,108.625,
2000-02-15,4336900,119.0,119.9375,115.1875,
2000-02-16,3377200,114.125,118.125,112.125,
2000-02-17,2584800,114.875,115.5,113.125,
2000-02-18,2082300,111.25,115.375,110.875,
2000-02-22,3770300,113.8125,116.9375,106.6875,
2000-02-23,4224100,116.25,119.0,111.0,
2000-02-24,3361000,115.203125,119.125,111.75,
2000-02-25,2224000,110.375,117.0,110.125,
2000-02-28,2831500,113.25,115.0,108.375,
2000-02-29,3294300,114.625,117.25,112.5625,
2000-03-01,9616000,130.3125,132.0625,118.5,
2000-03-02,2779100,122.0,127.9375,120.6875,
2000-03-03,2887200,128.0,128.234375,120.0,
2000-03-06,1879800,125.6875,129.125,125.0,
2000-03-07,2437600,122.875,127.4375,121.125,
2000-03-08,2421700,122.0,123.9375,118.5625,
2000-03-09,2466400,122.25,125.0,118.25,
2000-03-10,2219700,125.75,127.9375,121.0,
2000-03-13,2721100,121.3125,126.5,119.5,
2000-03-14,3826400,114.25,124.25,114.0,
2000-03-15,3960800,116.25,120.25,114.125,
2000-03-16,3375900,121.5625,122.0,114.5,
2000-03-17,2722600,125.0,125.0,119.625,
2000-03-20,1825800,123.0,126.25,122.375,
2000-03-21,4679700,134.9375,136.75,121.625,
2000-03-22,5070400,144.1875,144.375,131.5625,
2000-03-23,5019600,141.3125,150.375,140.0,
2000-03-24,3990300,138.6875,143.9375,135.5,
2000-03-27,2490700,139.5625,144.75,136.875,
2000-03-28,1812200,139.125,142.0,137.125,
2000-03-29,2140900,135.9375,139.4375,133.828125,
2000-03-30,3698500,125.75,137.6875,125.4375,
2000-03-31,3612100,135.8125,137.25,126.0,
2000-04-03,2933200,133.3125,139.5,129.4375,
2000-04-04,5895900,127.3125,133.0,116.75,
2000-04-05,4086100,130.375,132.875,124.0,
2000-04-06,2317900,125.1875,134.5,123.25,
2000-04-07,2164700,131.75,131.875,125.5,
2000-04-10,1895200,125.0,132.75,124.75,
2000-04-11,4836700,119.4375,124.875,118.0625,
2000-04-12,8405700,109.25,119.0,104.875,
2000-04-13,4730000,113.8125,120.0,108.5,
2000-04-14,5960800,111.875,118.0,109.0,
2000-04-17,3656400,123.875,123.9375,109.0625,
2000-04-18,3488400,126.875,126.875,119.375,
2000-04-19,4555800,121.125,130.25,119.75,
2000-04-20,6442600,118.875,124.75,117.0625,
2000-04-24,3960100,120.5,120.5,114.75,
2000-04-25,3495500,128.3125,128.75,122.0625,
2000-04-26,3275900,121.3125,128.0,120.0,
2000-04-27,2915700,126.75,127.0,116.578125,
2000-04-28,2219100,124.0625,127.5,121.3125,
2000-05-01,2018500,124.3125,125.125,121.875,
2000-05-02,2110800,117.875,126.25,117.5,
2000-05-03,4373200,115.0625,121.25,111.625,
2000-05-04,3566900,110.6875,115.25,110.5625,
2000-05-05,2536300,113.125,114.75,110.71875,
2000-05-08,1650900,110.125,113.6875,110.0,
2000-05-09,2920900,105.4375,111.25,104.875,
2000-05-10,4776900,99.3125,105.0,98.75,
2000-05-11,4459400,102.8125,104.25,99.0,
2000-05-12,2740000,107.625,110.5,104.765625,
2000-05-15,6058100,101.0,108.0625,100.125,
2000-05-16,3932100,105.6875,109.0625,102.75,
2000-05-17,3554400,101.375,103.6875,100.375,
2000-05-18,3336800,100.75,104.9375,100.625,
2000-05-19,6611800,94.0,99.25,93.375,
2000-05-22,6746500,89.9375,93.75,86.0,
2000-05-23,4620400,85.8125,93.375,85.625,
2000-05-24,6057200,87.6875,89.75,83.0,
2000-05-25,3631600,87.265625,92.65625,86.0,
2000-05-26,1615400,86.375,89.875,85.25,
2000-05-30,6365000,87.5625,88.125,81.75,
2000-05-31,3869300,84.0,91.25,83.8125,
2000-06-01,8069700,89.125,89.5625,80.375,
2000-06-02,7079000,92.5625,99.75,89.0,
2000-06-05,2889900,91.3125,95.25,89.6875,
2000-06-06,4691600,92.875,96.75,90.3125,
2000-06-07,3009000,96.5625,97.0,91.625,
2000-06-08,2129700,94.8125,98.5,93.125,
2000-06-09,2253100,95.75,97.9375,94.375,
2000-06-12,2592200,91.1875,96.4375,90.875,
2000-06-13,3137800,94.5,94.6875,88.1875,
2000-06-14,2477200,90.4375,96.25,90.125,
2000-06-15,2219400,92.375,93.375,89.0,
2000-06-16,2710400,91.1875,93.75,89.0625,
2000-06-19,3514400,96.625,97.875,89.8125,
2000-06-20,4476400,101.25,103.9375,98.375,
2000-06-21,8750200,55.625,56.9375,50.3125,
2000-06-22,8351600,53.75,57.625,53.5625,
2000-06-23,3660100,51.6875,54.625,50.8125,
2000-06-26,3309600,54.125,54.75,52.125,
2000-06-27,3633100,51.75,55.5,51.625,
2000-06-28,5114800,54.4375,55.375,51.5,
2000-06-29,3634500,51.25,53.9375,51.0625,
2000-06-30,5719100,52.375,54.9375,51.6875,
2000-07-03,1263800,53.3125,54.3125,52.125,
2000-07-05,4729900,51.625,55.1875,50.75,
2000-07-06,5527000,51.8125,52.9375,49.625,
2000-07-07,4707200,54.4375,54.8125,52.125,
2000-07-10,7103300,57.125,58.25,53.75,
2000-07-11,6387200,56.9375,59.25,55.4375,
2000-07-12,4025500,58.875,58.9375,56.375,
2000-07-13,7957300,56.5,60.625,54.75,
2000-07-14,3397300,57.6875,59.0,56.875,
2000-07-17,4641400,58.3125,58.8125,57.125,
2000-07-18,5664400,57.25,58.875,56.875,
2000-07-19,8175100,52.6875,56.8125,51.75,
2000-07-20,8312700,55.125,57.0625,54.125,
2000-07-21,3504000,53.5625,55.625,52.9375,
2000-07-24,7358700,48.6875,52.875,47.5,
2000-07-25,3778500,50.0625,50.625,49.0625,
2000-07-26,3736900,50.0625,51.25,49.25,
2000-07-27,5267600,52.0,53.25,49.875,
2000-07-28,4249000,48.3125,52.5,46.875,
2000-07-31,2773200,50.8125,51.625,48.75,
2000-08-01,2430500,49.3125,51.15625,49.25,
2000-08-02,2898500,47.25,49.9375,47.1875,
2000-08-03,6069200,48.0,48.0625,44.25,
2000-08-04,4696400,47.375,51.25,46.3125,
2000-08-07,3345500,47.9375,49.0625,47.1875,
2000-08-08,3152800,46.75,48.0,46.3125,
2000-08-09,6779300,47.5,48.4375,47.25,
2000-08-10,4494800,47.5625,48.4375,47.375,
2000-08-11,4250400,47.6875,48.0,45.5625,
2000-08-14,2797500,47.0625,47.6875,46.3125,
2000-08-15,2039000,46.6875,47.9375,46.5,
2000-08-16,2564300,48.5,49.0,46.8125,
2000-08-17,4837500,51.4375,52.4375,48.3125,
2000-08-18,3395900,50.0,51.8125,49.875,
2000-08-21,2400700,50.5,51.5625,49.625,
2000-08-22,4942900,51.6875,52.8125,50.375,
2000-08-23,4229700,54.3125,54.75,51.0625,
2000-08-24,5547900,56.109375,56.625,53.375,
2000-08-25,5972500,56.8125,57.5,56.375,
2000-08-28,6410800,58.0625,59.0,57.0625,
2000-08-29,4768300,59.1875,59.4375,57.6875,
2000-08-30,5096300,59.5,60.0,58.703125,
2000-08-31,7491000,60.9375,61.5,58.9375,
2000-09-01,4587000,63.4375,63.625,61.125,
2000-09-05,5332500,62.4375,64.125,62.25,
2000-09-06,6345100,58.4375,62.375,57.75,
2000-09-07,3882800,62.0,62.5625,58.25,
2000-09-08,3490800,58.875,61.625,58.5,
2000-09-11,3345600,58.4375,60.375,58.125,
2000-09-12,3357100,57.75,60.0625,57.0,
2000-09-13,5464000,58.0,59.5,56.75,
2000-09-14,7617000,56.859375,59.625,56.8125,
2000-09-15,7044900,55.234375,58.1875,54.25,
2000-09-18,7579400,60.65625,60.75,55.0625,
2000-09-19,4852500,59.9375,60.5,58.5625,
2000-09-20,4060500,61.046875,61.4375,58.5625,
2000-09-21,9083800,56.6875,59.625,55.25,
2000-09-22,12975700,52.1875,52.4375,50.0,
2000-09-25,7775000,53.5,55.5,52.0625,
2000-09-26,5195300,51.4375,54.75,51.375,
2000-09-27,7183200,48.9375,52.75,48.25,
2000-09-28,13377200,53.5,53.8125,48.125,
2000-09-29,132568500,25.75,29.0,25.375,
2000-10-02,43285900,24.25,26.75,23.5,
2000-10-03,36380500,22.3125,25.0,22.1875,
2000-10-04,26177100,23.625,23.75,21.875,
2000-10-05,15588100,22.0625,24.5,22.0,
2000-10-06,10937400,22.1875,22.9375,21.0,
2000-10-09,10668100,21.75,22.875,21.125,
2000-10-10,12335800,20.875,22.4375,20.5,
2000-10-11,21400300,19.625,21.0,19.125,
2000-10-12,21250300,20.0,20.8125,19.5,
2000-10-13,22268000,22.0625,22.125,20.0,
2000-10-16,14645600,21.5,23.25,21.375,
2000-10-17,10741100,20.125,21.9375,19.6875,
2000-10-18,14441600,20.125,21.0625,18.75,
2000-10-19,26863000,18.9375,19.8125,18.3125,
2000-10-20,14123800,19.5,20.375,18.9375,
2000-10-23,9840400,20.375,20.5625,19.4375,
2000-10-24,14350100,18.875,20.875,18.8125,
2000-10-25,11854800,18.5,19.1875,18.4375,
2000-10-26,12884700,18.5,18.875,17.5,
2000-10-27,13293200,18.5625,19.1875,17.875,
2000-10-30,11413300,19.3125,19.9375,18.75,
2000-10-31,15818200,19.5625,20.25,19.25,
2000-11-01,10267300,20.5,20.875,19.4375,
2000-11-02,10546000,22.3125,22.4375,21.0625,
2000-11-03,9210100,22.25,23.0,21.9375,
2000-11-06,7025900,21.4375,22.625,20.875,
2000-11-07,5391700,21.3125,21.8125,20.8125,
2000-11-08,7536500,20.0625,21.4375,19.8125,
2000-11-09,8511000,20.1875,20.5,19.0625,
2000-11-10,7539300,19.0625,19.875,19.0625,
2000-11-13,7709800,19.375,20.0,18.25,
2000-11-14,7299800,20.25,20.5,19.5625,
2000-11-15,5040800,19.875,20.1875,19.25,
2000-11-16,4270800,19.0,19.8125,18.875,
2000-11-17,7958100,18.5,19.25,18.25,
2000-11-20,7286300,18.9375,19.5,18.25,
2000-11-21,5390300,18.8125,19.5,18.75,
2000-11-22,5009000,18.5,19.125,18.375,
2000-11-24,2870700,19.3125,19.5,18.8125,
2000-11-27,4620300,18.6875,19.9375,18.5,
2000-11-28,4803100,18.03125,19.0,17.9375,
2000-11-29,8653300,17.5625,18.3125,17.25,
2000-11-30,14453800,16.5,17.0,16.125,
2000-12-01,6886200,17.0625,17.5,16.8125,
2000-12-04,6633100,16.6875,17.1875,16.4375,
2000-12-05,10173300,17.0,17.4375,16.375,
2000-12-06,24541000,14.3125,15.0,14.0,
2000-12-07,7212500,14.3125,14.875,14.0,
2000-12-08,7776700,15.0625,15.3125,14.4375,
2000-12-11,5936100,15.1875,15.375,14.875,
2000-12-12,6895100,15.375,16.0,15.0,
2000-12-13,6158300,15.0,15.5625,14.875,
2000-12-14,4700400,14.4375,15.25,14.4375,
2000-12-15,9150300,14.0625,14.6875,14.0,
2000-12-18,5817800,14.25,14.625,13.9375,
