Date,Volume,Close,High,Low,Open
2000-01-03,8012700,73.0,75.375,72.125,
2000-01-04,7815600,70.875,71.1875,69.1875,
2000-01-05,5809700,70.4375,72.5625,69.0,
2000-01-06,5579500,71.4375,72.9375,69.75,
2000-01-07,4381300,72.75,73.5,71.0,
2000-01-10,3149000,71.5,73.375,71.5,
2000-01-11,5604000,69.8125,70.4375,68.25,
2000-01-12,4847900,70.25,70.875,69.5,
2000-01-13,4612600,71.3125,72.5,70.5625,
2000-01-14,6487900,73.875,75.75,72.8125,
2000-01-18,3711100,71.0,74.5,70.25,
2000-01-19,10489800,74.125,75.375,72.25,
2000-01-20,5172200,73.0,76.0,72.75,
2000-01-21,3440400,72.9375,74.0,72.625,
2000-01-24,4306100,73.0,74.5625,72.1875,
2000-01-25,5053300,74.625,75.75,73.0,
2000-01-26,5588900,78.1875,79.0,75.0,
2000-01-27,5444000,80.6875,81.5,78.5625,
2000-01-28,5000000,76.6875,79.5625,76.625,
2000-01-31,4756700,80.6875,81.5,76.8125,
2000-02-01,6434000,83.75,84.5,81.3125,
2000-02-02,4750800,82.375,84.1875,81.375,
2000-02-03,6133500,83.1875,84.875,80.25,
2000-02-04,3410100,81.75,83.3125,81.5625,
2000-02-07,3122800,82.1875,83.375,81.75,
2000-02-08,4212400,85.0625,86.125,84.0,
2000-02-09,6545700,82.875,86.375,82.4375,
2000-02-10,4587000,83.125,83.75,81.375,
2000-02-11,4701700,82.625,85.0,82.0,
2000-02-14,3936500,79.0625,83.4375,79.0625,
2000-02-15,5977000,81.0625,82.5,79.625,
2000-02-16,3219800,79.5,82.1875,79.0,
2000-02-17,3810800,78.375,81.5,77.8125,
2000-02-18,5414200,74.75,78.5625,74.5625,
2000-02-22,4712400,77.25,78.875,75.125,
2000-02-23,2968600,77.375,79.1875,76.5625,
2000-02-24,3466600,76.0,77.5625,74.625,
2000-02-25,3096200,75.875,78.75,74.875,
2000-02-28,4034000,77.9375,80.25,76.375,
2000-02-29,4111300,79.625,81.0,77.6875,
2000-03-01,3244200,82.0,82.0,78.875,
2000-03-02,2389200,80.5625,81.125,79.75,
2000-03-03,3987600,81.125,82.375,79.375,
2000-03-06,3794300,83.4375,84.375,82.25,
2000-03-07,3044600,81.8125,84.1875,81.0,
2000-03-08,3493500,79.875,81.4375,78.625,
2000-03-09,2653000,81.125,81.25,78.0625,
2000-03-10,3540900,78.6875,81.5625,77.75,
2000-03-13,3148900,80.0625,81.1875,77.125,
2000-03-14,2753100,79.0,80.9375,78.5,
2000-03-15,5907800,83.125,84.1875,77.1875,
2000-03-16,10423300,90.125,90.375,84.1875,
2000-03-17,7926100,91.0,92.25,88.5,
2000-03-20,5384100,86.5625,90.5,84.5,
2000-03-21,5562400,92.5,92.5,85.5,
2000-03-22,5736100,91.5625,92.125,88.75,
2000-03-23,6944300,98.5,99.1875,90.9375,
